SalesOrderLineKey,CustomerKey,ProductKey,OrderDateKey,DueDateKey,ShipDateKey,SalesTerritoryKey,Order Quantity,Unit Price,Extended Amount,Unit Price Discount Pct,Product Standard Cost,Total Product Cost,Sales Amount,,
43697001,21768,310,20170701,20170711,20170708,6,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27,,
43702001,27645,311,20170701,20170711,20170708,4,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27,,
43703001,16624,310,20170701,20170711,20170708,9,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27,,
43706001,27621,312,20170702,20170712,20170709,4,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27,,
43707001,27616,312,20170702,20170712,20170709,4,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27,,
43709001,16351,313,20170702,20170712,20170709,9,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27,,
43710001,16517,314,20170702,20170712,20170709,9,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27,,
43711001,27606,314,20170702,20170712,20170709,1,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27,,
43712001,13513,311,20170702,20170712,20170709,8,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27,,
43713001,27601,310,20170703,20170713,20170710,4,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27,,
43714001,13591,311,20170703,20170713,20170710,10,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27,,
43715001,16483,314,20170703,20170713,20170710,9,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27,,
43716001,16529,311,20170703,20170713,20170710,9,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27,,
43718001,27668,311,20170703,20170713,20170710,1,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27,,
43719001,27612,312,20170703,20170713,20170710,4,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27,,
43720001,13264,311,20170703,20170713,20170710,8,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27,,
43721001,13590,310,20170703,20170713,20170710,10,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27,,
43722001,13581,312,20170704,20170714,20170711,10,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27,,
43724001,16520,311,20170704,20170714,20170711,9,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27,,
